date,open,high,low,close
1639738800000,46949.22000000,47234.85000000,45729.67000000,47112.44000000
1639742400000,47111.37000000,47238.37000000,46817.71000000,47028.40000000
1639746000000,47039.44000000,47375.57000000,46888.89000000,46955.42000000
1639749600000,46950.03000000,47375.57000000,38622.35000000,45965.92000000
1639753200000,45952.00000000,47375.57000000,38622.35000000,46527.68000000
1639756800000,46528.77000000,47837.98000000,38622.35000000,47099.27000000
1639760400000,47080.01000000,47837.98000000,38622.35000000,46766.40000000
1639764000000,46766.39000000,47837.98000000,38622.35000000,46984.62000000
1639767600000,46989.29000000,47837.98000000,46268.55000000,46763.37000000
1639771200000,46765.66000000,46826.70000000,46167.22000000,46208.01000000
1639774800000,46200.00000000,47222.54000000,46122.40000000,46857.97000000
1639778400000,46849.23000000,46962.53000000,45553.06000000,46520.43000000
1639782000000,46543.78000000,46596.43000000,46090.86000000,46126.17000000
1639785600000,46134.52000000,46379.58000000,40000.00000000,45553.06000000
1639789200000,44952.04000000,46357.70000000,44952.04000000,45662.96000000
1639792800000,45661.02000000,45980.00000000,38622.35000000,45717.56000000
1639796400000,45696.23000000,47837.98000000,38622.35000000,46268.55000000
1639800000000,46268.55000000,47837.98000000,38622.35000000,46396.00000000
1639803600000,46393.07000000,46853.51000000,46044.86000000,46600.00000000
1639807200000,46585.56000000,46770.40000000,46268.55000000,46332.38000000
1639810800000,46332.39000000,46467.89000000,46310.30000000,46364.09000000
1639814400000,46364.98000000,46662.40000000,46198.52000000,46331.98000000
1639818000000,46331.98000000,46848.49000000,46328.40000000,46832.49000000
1639821600000,46832.49000000,47837.98000000,46708.95000000,47302.74000000
1639825200000,47305.92000000,47461.04000000,46939.84000000,47064.41000000
1639828800000,47065.56000000,47837.98000000,36691.24000000,47045.67000000
1639832400000,47035.50000000,47143.30000000,36691.24000000,46640.34000000
1639836000000,46632.84000000,47041.16000000,46607.23000000,47009.02000000
1639839600000,47008.70000000,47233.98000000,46776.93000000,46868.22000000
1639843200000,46860.00000000,47837.98000000,46754.81000000,46802.38000000
1639846800000,46799.93000000,47035.90000000,46513.25000000,46655.28000000
1639850400000,46665.12000000,47837.98000000,46455.04000000,46724.91000000
1639854000000,46725.91000000,47844.63000000,45791.55000000,46643.56000000
1639857600000,46643.69000000,47234.00000000,46383.89000000,46864.56000000
1639861200000,46864.56000000,47234.00000000,46744.47000000,46944.61000000
1639864800000,46942.93000000,47234.00000000,36691.24000000,46773.84000000
1639868400000,46773.85000000,46999.97000000,45791.55000000,46832.31000000
1639872000000,46834.48000000,47033.00000000,46550.01000000,46660.82000000
1639875600000,46664.34000000,46819.92000000,46030.05000000,46573.74000000
1639879200000,46570.00000000,47242.51000000,46517.63000000,47150.00000000
1639882800000,47150.01000000,47883.11000000,36691.24000000,47710.96000000
1639886400000,47716.69000000,48057.97000000,47716.69000000,47892.74000000
1639890000000,47892.74000000,48056.00000000,36691.24000000,47600.00000000
1639893600000,47600.00000000,47691.99000000,47450.00000000,47480.87000000
1639897200000,47458.73000000,47864.30000000,36691.24000000,47515.18000000
1639900800000,47516.05000000,48092.62000000,47421.12000000,47474.62000000
1639904400000,47473.06000000,48450.00000000,36691.24000000,47102.02000000
1639908000000,47085.00000000,48450.00000000,36691.24000000,47124.79000000
